nacchoid	module	scity	sstate	simplepopsourcecode	popcat3	popcat5	popcat7	popcat8	popcat9	q1	q2	q14b	q14c	q15r	q16	q17a	q17ab	q17b	q17c	q17cd	q17d	q17e	q17f	q17g	q17h	q17i	q17j	q17k	q17l	q17m	q18	q19a	q19b	q19c	q20	q21	govcat	yearstenure	b_module	m1weight2	popcat2old	c1_lhd_name0	LHD_Org	Contact_Category	v008_Profile	FIPS_CY
OK062		Ada	OK	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	35750	6	2008		2507275.16																1	0	0	0	0		state	8.17					Pontotoc County Health Department	LHD	1	40123
OK063	module 3	Shawnee	OK	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	69495	6	2008	"$500,000-$999,999"	2663759.76		644619			1900000											2	250000	75000	85000	0		state	3.67					Pottawatomie County Health Department	LHD	1	40125
OK064	module 3	Antlers	OK	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11606	1	2008	"<$500,000"	1021484.74																3	13273	0	0	1	1.5	state	14.25					Pushmataha County Health Department	LHD	1	40127
OK066	module 1	Claremore	OK	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	84745	6	2008	"$1,000,000-$4,999,999"	3465327.3		1692084			0											1	0	0	0	0		state	14.5	1	5.11	"50,000+"	Rogers County Health Department	Rogers County Health Department	LHD	1	40131
OK067		Wewoka	OK	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25021	6	2008	"<$500,000"	1503792.67		288447			690000											2	30000	6000	0	0		state	3.67					Seminole County Health Department	LHD	1	40133
OK068	module 2	Sallisaw	OK	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	41479	7	2008		1769859.68		360000			0											3				0		state	9.58					Sequoyah County Health Department	LHD	1	40135
OK069	module 3	Duncan	OK	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	43740	1	2008	"$500,000-$999,999"	1621074.98																1	67454	0	0	1	1	state	12.67					Stephens County Health Department	LHD	1	40137
OK071		Frederick	OK	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8716	6	2008	"<$500,000"	884383.35		188754			0											3				0		state	2.17					Tillman County Health Department	LHD	1	40141
OK072	module 3	Tulsa	OK	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	city/county	592004	1	2008	"$10,000,000+"	22479012	0	11340774	11340774	2926278	6531196	3604918	1265222	868320	0	255543	0	893954	715028	0	608995	1	1029192	374111	0	1	11	local	13.42					Tulsa City-County Health Department	LHD	1	40143
OK074	module 2	Bartlesville	OK	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	49237	6	2008		2480727.29																1	0	0	0	0		state	14.5					Washington County Health Department	LHD	1	40147
OK076		Alva	OK	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8579	7	2008		424112.77		372000			0											2	0	0	0	0		state	14.08					Woods County Health Department	LHD	1	40151
OR001																																											Baker County Health Department	LHD	1	41001
OR002	module 1	Corvallis	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	82483	6	2008	"$10,000,000+"	13982336	0	3304648	3304648	4517591	5182256	664665	881809	2481182	288856	29129	218129	510998	682987	0	402342	1	127148	46819	0	1	1.5	local	0.42	1	5.11	"50,000+"	Benton County Health Department	Benton County Health Department	LHD	1	41003
OR003	module 3	Oregon City	OR	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	375391	7	2008	"$1,000,000-$4,999,999"	3914166	11910	737105	725195	727388	2112560	1385172	30026	33863	0	0	0	11491	980021	0	4293	2	52617	15791	0	1	4	local	3.83					Clackamas County Community Health Division	LHD	1	41005
OR004	module 3	Astoria	OR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	37028	6	2008	"$1,000,000-$4,999,999"	1769473.25	0	518200	518200	156880	606753	449873	0	352862	12223	1063	45620	39278	153414	0	30963	1	100268	27580	0	1	0.8	local	2.25					Clatsop County Health and Human Services Department	LHD	1	41007
OR005		St. Helens	OR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48853	6	2008	"$1,000,000-$4,999,999"	1110056	0	100000	100000	179898	385705	205807	156268	38429	0	0	0	10446	0	0	419208	1	99430	4927	0	1	0.9	local	26.17					Columbia Health District	LHD	1	41009
OR006		North Bend	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	64076	6	2008	"$1,000,000-$4,999,999"	2072281	2723	2723	0	458575	958150	499575	0	636860	19165	2831	57715	128302	201589	12000	52946	1	158066	47394	0	1	1.1	local	7.92					Coos County Health Department	LHD	1	41011
OR007		Prineville	OR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	22842	1	2008			0	94610	94610	36326	363076	326750	0	81500	0	2500	0	26050	0	0	8212	1	80000	20000	0	1	1.3	local	0.75					Crook County Health Department	LHD	1	41013
OR008	module 1	Gold Beach	OR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	22664	6	2008	"$1,000,000-$4,999,999"	1200000	0	0	0	58000	290600	232600	266550	200000	300000	4000	10000	3600	156000	0	7500	2	92112	28142	0	1	0.8	local		1	8.96	"<50,000"	Curry County Health Department	Curry County Health Department	LHD	1	41015
OR010	module 1	Roseburg	OR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	105822	6	2007		21467022	266425	2366107	2099682			1946939	311482	447187	69872	69312	181600	589601	221509	40000	311174	1	145653	36109	0	1	1.5	local	3.33	1	4.47	"50,000+"	Douglas County Health and Social Services	Douglas County Health and Social Services	LHD	1	41019
OR012																																											Grant County Health Office	LHD	1	41023
OR013		Burns	OR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	7380	6	2008	"<$500,000"	300000	0	120000	120000	67000	114000	47000	0	1800	7500	5000	1000	24000	27000	0	0	1				1	0.6	local	9.92					Harney County Health Department	LHD	1	41025
OR014	module 3	Hood River	OR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	22527	6	2008	"$1,000,000-$4,999,999"	1293449	0	461087	461087	27038	380236	353198	0	70531	0	49222	21040	189359	121974	0	0	3	87877	22399	0	1	1.25	local	9.58					Hood River County Health Department	LHD	1	41027
OR035		Medford	OR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	county	204464	6	2008	"$5,000,000-$9,999,999"	5653638	78300	1495355	1417055	738693	2010078	1271385	278465	1099908	0	172594	72192	509246	225	0	15575	2	201962	83951	0	1	1.3	local	0.75					Jackson County Health and Human Services	LHD	1	41029
OR015		Madras	OR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	21476	6	2008	"$1,000,000-$4,999,999"	1114387	0	383080	383080	25299	468575	443276	0	109920	0	0	10000	22000	40200	0	34651	1	87805	22385	0	1	1.65	local	0.5					Jefferson County Health Department	LHD	1	41031
OR016	module 3	Grants Pass	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	83038	6	2008	"$1,000,000-$4,999,999"	2559757	0	415000	415000	900000	1300000	400000	5000	140000	60000	85000	90000	15000	350000	0	30000	2	110000	30000	0	1	0.9	local	2					Josephine County Public Health Department	LHD	1	41033
OR017		Klamath Falls	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	67237	6	2008																								local	8.58					Klamath County Department of Public Health	LHD	1	41035
OR018		Lakeview	OR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	7315	6	2008	"<$500,000"	427101	0	61000	61000	14800	139546	124746	45000	14800	5000	4454	49000	30700	20500	0	50000	1	53074	17963	0	1	0.45	local	7.25					Lake County Public Health Department	LHD	1	41037
OR019	module 1	Eugene	OR	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	342781	6	2008	"$5,000,000-$9,999,999"	6297254	0	1417156	1417156	602948	2386729	1783781	513483	244113	24571	0	8060	120291	0	0	1503228	1	232066	71549	0	1	1.15	local	21.58	1	3.88	"50,000+"	Lane County Public Health Department	Lane County Public Health Department	LHD	1	41039
OR020	module 1	Newport	OR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	46860	7	2008	"$5,000,000-$9,999,999"	7185220	0	988400	988400	2001572	2381109	379537	0	2523510	349	4500	171125	120629	336470	0	659120	3				1		local	8.92	1	6.66	"<50,000"	Lincoln County Health and Human Services	Lincoln County Health and Human Services	LHD	1	41041
OR021	module 1	Albany	OR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	111474	1	2008	"$1,000,000-$4,999,999"	4130302	0	1054719	1054719		3075583		0	0	0	0	0	0	0	0	0	3				1		local	5.33	1	4.47	"50,000+"	Linn County Health Department	Linn County Health Department	LHD	1	41043
OR034																																											Malheur County Health Department	LHD	1	41045
OR022	module 3	Salem	OR	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	312257	6	2008	"$5,000,000-$9,999,999"	7820332	0	2900975	2900975	715829	3003548	2287719	18954	800896	5707	4354	5116	224790	188368	0	667624	1	252949	103549	0	1	3	local	5.25					Marion County Health Department	LHD	1	41047
OR023	module 3	Heppner	OR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12224	6	2008	"$500,000-$999,999"	693818	0	267981	267981	72600	238198	165598	110132	11452	1500	0	47430	17125	0	0	0	1	101225	23150	0	1	2.1	local	6.58					Morrow County Health Department	LHD	1	41049
OR024	module 1	Portland	OR	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	city/county	694967	6	2007	"$10,000,000+"	122319224	749893	49826872	49076980	3687101	11086434	7399333	13028593	33353146	2317295	1148654	361214	1345060	3753104	0	6098852	1	467306	213013	0	1	4.03	local	9.42	1	3.5	"50,000+"	Multnomah County Health Department	Multnomah County Health Department	LHD	1	41051
OR025	module 1	Dallas	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	71544	6	2008	"$1,000,000-$4,999,999"	1347663	0	233740	233740	138848	540706	401858	0	461630	11780	1000	15600	53620	0	0	16929	1	102483	27440	0	1	1	local	2.33	1	5.11	"50,000+"	Polk County Public Health	Polk County Public Health	LHD	1	41053
OR026	module 1	Tillamook	OR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25833	6	2008	"$1,000,000-$4,999,999"	3853293	0	110000	110000	84577	441595	357018	1374000	713040	171550	0	395307	178789	0	0	469012	1	94360	25214	0	1	0.5	local	1.67	1	6.66	"<50,000"	Tillamook County Health Department	Tillamook County Health Department	LHD	1	41057
OR027		Pendleton	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	74834	6	2008	"$1,000,000-$4,999,999"	2592402	0	733651	733651	610785	898303	287518	0	68989	0	55078	39718	87390	164725	10000	534548	1	129564	49467	0	1	2	local	5.33					Umatilla County Public Health Department	LHD	1	41059
OR028		LaGrande	OR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25066	1	2008	"$1,000,000-$4,999,999"	4798000	175000	445000	270000	2051000	2601000	550000	0	987000	0	500	360000	40000	10000	0	354000	3	119835	33345	0	1	1	local	0.33					Union County Health Department	LHD	1	41061
OR029	module 2	Enterprise	OR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	7218	6	2008	"<$500,000"	375254	0	0	0	7497	142159	134662	29900	4937	0	0	9522	27193	28575	0	132968	2	65700	29121	0	1	0.83	local	3.42					Wallowa County Health Department	LHD	1	41063
OR031	module 3	Hillsboro	OR	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	517996	6	2007	"$10,000,000+"	7438123																2	381775	122150	440199	1	5	local	1					Washington County Department of Health and Human Services	LHD	1	41067
OR032		Fossil	OR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	1561	6	2008	"<$500,000"	168432																2	40591	20176	0	1	1.2	local	15.42					Wheeler County Health Department	LHD	1	41069
OR033	module 2	McMinnville	OR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	95296	6	2008	"$1,000,000-$4,999,999"	2100681	0	549275	549275	560007	877015	317008	24975	292033	0	0	22778	137080	154116	0	0	3	156942	0	0	1	1.7	local						Yamhill County HandH Serv-Public Health	LHD	1	41071
PA001																																											Allegheny County Health Department	LHD	1	42003
PA004	module 2	Doylestown	PA	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	638174	1	2008	"$10,000,000+"	9000000																1	270000	540000	50000	1	3	local	0.58					Bucks County Department of Health	LHD	1	42017
PA005	module 2	West Chester	PA	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	491334	1	2008	"$10,000,000+"	8685320																1	171006	61576	5480	1	3	local	30.5					Chester County Health Department	LHD	1	42029
PA007	module 1	Erie	PA	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	283041	12	2007	"$5,000,000-$9,999,999"	6252755	12000	1099621	1087621	4478501	4790169	311668	0	0	0	50000	0	600	312365	0	0	1				1	3	local	4.33	1	3.88	"50,000+"	Erie County Department of Health	Erie County Department of Health	LHD	1	42049
TN001	module 3	Clinton	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	73776	1	2008	"$1,000,000-$4,999,999"		0	360000	360000	645463	1634063	988600	0	0	0	0	0	0	0	0	0	3				0		state	4.67					Anderson County Health Department	LHD	1	47001
TN002		Shelbyville	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	44354	6	2007	"$1,000,000-$4,999,999"	1406078	0	100680	100680	663430	1035571	372141	0	155062	10195	0	2184	101840	0	0	546	1	0	0	0	0		state	0.83					Bedford County Health Department	SUB107	1	47003
TN003		Camden	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16973	6	2007	"<$500,000"	480986	0	50201	50201	107504	239858	132354	0	51830	10918	0	2882	17380	0	0	107917	4	0	0	0	0		state	1.42					Benton County Health Department	SUB108	1	47005
TN004		Pikeville	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12921	6	2008																		1	0	0	0	0		state	9.58					Bledsoe County Health Department	SUB104	1	47007
TN005	module 2	Maryville	TN	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	118621	6	2007	"$1,000,000-$4,999,999"	2600000	0	415000	415000	924000	1384000	460000	0	187000	9000	3000	2900	122000	0	0	470000	4	2000	0	0	0		state	4.92					Blount County Health Department	SUB027	1	47009
TN006	module 3	Cleveland	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	95360	6	2008	"$1,000,000-$4,999,999"	2941112	0	387637	387637	1701257	2391094	689837	0	0	0	0	0	162381	0	0	0	1	0	0	0	0		state	22.75					Bradley County Health Department	SUB104	1	47011
TN007		Jacksboro	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	41284	6	2007	"$1,000,000-$4,999,999"	1337994	0	91219	91219	345123	611369	266246	0	185606	8674	0	1570	40681	0	0	398875	1	0	0	0	0		state	3.17					Campbell County Health Department	SUB027	1	47013
TN008	module 3	Woodbury	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13602	6	2007	"<$500,000"	322684	0	16414	16414	34417	37415	2998	33615	207564	18529	0	1373	15394	0	0	2380	1				0		state	0.5					Cannon County Health Department	SUB105	1	47015
TN009		Huntingdon	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	29704	6	2007	"$500,000-$999,999"	845666	0	71719	71719	221243	390948	169705	0	68249	6789	0	2697	41794	0	0	263470	4	0	0	0	0		state	1.42					Carroll County Health Department	SUB108	1	47017
TN010	module 3	Elizabethton	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	59560	6	2007	"$1,000,000-$4,999,999"	1999351	29500	233378	203878	507218	921051	413833	0	270819	7556	0	2635	94752	0	0	469160	1	0	0	0	0		state	6.08					Carter County Health Department	SUB103	1	47019
TN012	module 2	Ashland City	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40700	6	2007	"$500,000-$999,999"	717300	0	33200	33200	200200	392900	192700	0	0	9200	0	45100	36400	0	0	200500	1	0	0	0	0		state	3.17					Cheatham County Health Department	SUB106	1	47021
TN013	module 1	Henderson	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16479	6	2007	"<$500,000"	399784	0	24600	24600	98928	211116	112188	0	66350	10442	0	838	12691	0	0	73747	1						state		1	8.96	"<50,000"	Chester County Health Department	Chester County Health Department	SUB108	1	47023
TN014	module 3	Tazewell	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	32860	6	2007	"$500,000-$999,999"	814630	0	100728	100728	187173	424857	237684	0	82523	3344	0	2311	30282	0	0	170585		0	0	0	0		state	3.17					Claiborne County Health Department	SUB027	1	47025
TN015		Celina	TN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8259	1	2008		308821	0	4729	4729	59028	72550	13522	43902	162299	9476	0	2725	11587	0	0	0	1				0		state	11.42					Clay County Health Department	SUB105	1	47027
TN016	module 2	Newport	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	35508	6	2008	"$500,000-$999,999"	898818	0	94634	94634	99608	272189	172581	0	174835	2682	0	616	26862	0	0	327000	1	0	0	0	0		state	1.83					Cocke County Health Department	SUB027	1	47029
TN017	module 3	Manchester	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	52028	6	2006	"$1,000,000-$4,999,999"	1210650	0	95752	95752	646974	912566	265592	0	132701	11729	0	1677	54720	0	0	1505	1	0	0	0	0		state	11.17					Coffee County Health Department	SUB107	1	47031
TN018		Alamo	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14869	6	2007	"$500,000-$999,999"	637657	0	73309	73309	134946	274993	140047	0	89519	10766	0	3651	30577	0	0	154842	1				0		state	0.42					Crockett County Health Center	SUB108	1	47033
TN019		Crossville	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	52915	1	2008	"$1,000,000-$4,999,999"	1709773	0	57500	57500	197240	229695	32455	233039	1037304	16234	0	10488	94648	0	0	30865	1	0	0	0	0		state	2					Cumberland County Health Department	SUB105	1	47035
TN020	module 3	Nashville	TN	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	city/county	599512	6	2008			3101603	3101603	0	1149139	12567960	11418821	6478727	0	0	0	703236	0	4590771	0	0	1	753000	30000	113300	1	6.58	local	1.42					Metro Public Health Department	LHD	1	47037
TN021	module 1	Decaturville	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12061	6	2008	"<$500,000"	431996	0	41100	41100	87626	198508	110882	0	51463	9741	0	1227	15738	0	0	114109	1						state	15.75	1	8.96	"<50,000"	Decatur County Health Department	Decatur County Health Department	SUB108	1	47039
TN022		Smithville	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18436	6	2007	"$500,000-$999,999"	626799	0	7104	7104	186658				248193	5061	0	3861	18142	0	0	4195	1						state	2.25					Dekalb County Health Department	SUB105	1	47041
TN023	module 1	Dickson	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48306	6	2007	"$1,000,000-$4,999,999"	1863200	0	169100	169100	791600	1172900	381300	0	0	12000	0	160000	91100	0	0	258100	1	0	0	0	0		state	0.42	1	6.66	"<50,000"	Dickson County Health Department	Dickson County Health Department	SUB106	1	47043
TN025	module 1	Dyersburg	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	38315	6	2007	"$1,000,000-$4,999,999"	1811273	0	126287	126287	579541	979816	400275	0	131099	7219	0	1683	64701	0	0	500468	1				0		state	8.92	1	6.66	"<50,000"	Dyer County Health Department	Dyer County Health Department	SUB108	1	47045
TN028		Somerville	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	35782	6	2008	"$1,000,000-$4,999,999"	800000																3	0	0	0	0		state	0.92					Fayette County Health Department	SUB108	1	47047
TN029		Jamestown	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17687	1	2008		778000	0	35000	35000	316000	333000	17000	182000	184000	4141	0	4259	28318	0	0	6513	1				0		state	12.5					Fentress County Health Department	SUB105	1	47049
TN030	module 2	Winchester	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	other	42561	6	2008	"$500,000-$999,999"	432741	0	30646	30646	124079	327569	203490	0	35317	17358	0	914	20937	0	0	0	1	0	0	0	0		state	12.33					Franklin County Health Department	SUB104	1	47051
TN031		Trenton	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48759	1	2008	"$1,000,000-$4,999,999"	2057377	0	79622	79622	754161	1257257	503096	0	211233	26599	0	14414	72122	0	0	396130	3				0	0	state	9					Gibson County Health Department	SUB108	1	47053
TN032	module 2	Pulaski	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	29932	6	2007	"$500,000-$999,999"	742294	0	95378	95378	458445	557352	98907	0	52374	12431	0	2195	20939	0	0	1625	1	0	0	0	0		state	0.83					Giles County Health Department	SUB107	1	47055
TN033	module 3	Rutledge	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	22374	6	2007	"$500,000-$999,999"	720013	0	49518	49518	211281	472587	261306	0	35468	16979	0	3813	16198	0	0	125450	1	0	0	0	0		state	2.67					Grainger County Health Department	SUB027	1	47057
TN034		Greeneville	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	67385	6	2007	"$1,000,000-$4,999,999"	2784991	5000	529180	524180	669731	1106333	436602	0	240370	10408	0	8867	93141	0	0	796692	1	0	0	0	0		state	3.67					Greene County Health Department	SUB103	1	47059
TN035	module 2	Altamont	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	other	14368	6	2008	"$500,000-$999,999"	390589	0	10600	10600	92201	296222	204021	0	42310	4277	0	1028	36152	0	0	0	1	0	0	0	0		state	21.42					Grundy County Health Department	SUB104	1	47061
TN036		Morristown	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	61091	6	2007	"$1,000,000-$4,999,999"	1606344	0	150356	150356	472197	1018108	545911	0	141334	379	0	593	64162	0	0	231412	1	0	0	0	0		state	2.67					Hamblen County Health Department	SUB027	1	47063
TN011	module 3	Chattanooga	TN	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	city/county	320956	6	2007	"$10,000,000+"	16268300	37000	6712200	6675200	490600	6459400	5968800	600000	842200	0	20000	0	501400	0	0	1132600		796400	30000	0	1	10	local	8.33					Chattanooga-Hamilton County Health Department	LHD	1	47065
TN037	module 3	Sneedville	TN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	6781	6	2007	"<$500,000"	490722	0	46505	46505	33292	95713	62421	0	95363	3824	0	4881	13267	0	0	231169	1	0	0	0	0		state	4.83					Hancock County Health Department	SUB103	1	47067
TN038	module 3	Bolivar	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	28683	1	2008	"$1,000,000-$4,999,999"	1000000																3				0		state	3.5					Hardeman County Health Department	SUB108	1	47069
TN039		Savannah	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26202	6	2007	"$500,000-$999,999"	696618	0	61380	61380	104880	244381	139501	0	136667	16670	0	547	30330	0	0	206643							state	15.75					Hardin County Health Department	SUB108	1	47071
TN040	module 2	Rogersville	TN	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	57765	6	2007	"$1,000,000-$4,999,999"	2426576	0	285501	285501	386772	783242	396470	0	336042	10761	0	24196	85741	0	0	901093	1	0	0	0	0		state	4.83					Hawkins County Health Department	SUB103	1	47073
TN041		Brownsville	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	19881	6	2008	"$500,000-$999,999"	662257	0	70740	70740	143785	273158	129373	0	98453	2899	0	686	9713	0	0	206608	3				0		state	0.5					Haywood County Health Department	SUB108	1	47075
TN042		Lexington	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26874	6	2007	"$1,000,000-$4,999,999"	1014117	0	50580	50580	275191	488032	212841	0	106386	13256	0	1411	40081	0	0	314377							state	15.75					Henderson County Health Department	SUB108	1	47077
TN043		Paris	TN	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	32134	6	2007	"$1,000,000-$4,999,999"	1061323	0	45600	45600	376251	603141	226890	0	71422	24319	0	7273	74085	0	0	235483	4	0	0	0	0		state	1.42					Henry County Health Department	SUB108	1	47079
TN044	module 3	Centerville	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24309	6	2007	"<$500,000"	424398	0	49248	49248	198844	323547	124703	0	35230	2608	0	605	13161	0	0	0	1	0	0	0	0	0	state	9.08					Hickman County Health Department	SUB107	1	47081
TN045		Erin	TN	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8313	1	2008	"<$500,000"	244900	0	32000	32000	53700	107900	54200	0	0	13100	0	16600	6300	0	0	69000	1				0		state	0.5					Houston County Health Department	SUB106	1	47083
TN046	module 2	Waverly	TN	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18776	6	2007	"<$500,000"	442000	0	67000	67000	137800	274500	136700	0	0	17000	0	32000	28400	0	0	23100	1	0	0	0	0		state	0.42					Humphreys County Health Department	SUB106	1	47085
